libId,TOTAL_READS,PF_READS,PF_HQ_ALIGNED_READS,MEAN_READ_LENGTH,STRAND_BALANCE,RIBOSOMAL_BASES,CODING_BASES,UTR_BASES,INTRONIC_BASES,INTERGENIC_BASES,PCT_RIBOSOMAL_BASES,PCT_CODING_BASES,PCT_UTR_BASES,PCT_INTRONIC_BASES,PCT_INTERGENIC_BASES,PCT_MRNA_BASES,MEDIAN_CV_COVERAGE,fastq_total_reads,reads_aligned_sam,aligned,reads_with_mult_align,algn_seg_with_mult_algn,no_feature,ambiguous,alignment_not_unique,PERCENT_DUPLICATION,mapped_reads_w_dups
lib1473_D27JJACXX,14499664,14499664,12931407,49.711752,0.499935,2823763,317224222,315564661,57710417,27456986,0.003918,0.440113,0.43781,0.080067,0.038093,0.877923,0.465346,15288063,14499667,94.80%,1568258,10.80%,1079612,707712,6303037,0.472526,0.94843
lib1476_D27JJACXX,9297687,9297687,8080502,49.7299,0.499963,3572684,195148347,210919593,35769530,16947466,0.007727,0.422073,0.456183,0.077363,0.036654,0.878256,0.531045,9936856,9297690,93.60%,1217186,13.10%,666786,500695,4441743,0.495767,0.935677
lib1477_D27JJACXX,11670368,11670368,10084861,49.735739,0.499652,7072497,243375404,277898677,32427200,19640595,0.012185,0.419314,0.478794,0.055869,0.033839,0.898108,0.5303,12425771,11670371,93.90%,1585508,13.60%,563163,578429,5717975,0.573083,0.939207
lib1478_D27JJACXX,9983632,9983632,8740216,49.757543,0.500119,3741910,206294905,235397380,34462751,16848915,0.007533,0.415293,0.473879,0.069377,0.033919,0.889172,0.526564,10575629,9983635,94.40%,1243417,12.50%,638605,482993,4474112,0.509128,0.944023
lib1480_D27JJACXX,12034245,12034245,10390350,49.747765,0.499402,3956151,243336668,296138164,35962091,19263539,0.006608,0.406471,0.494671,0.060071,0.032178,0.901143,0.568914,12968522,12034248,92.80%,1643896,13.70%,639638,609981,5765689,0.616972,0.927958
lib1488_D26PLACXX,9563916,9563916,8499038,49.584776,0.499795,2130517,210234043,202891004,40558361,18397475,0.004493,0.443334,0.427849,0.085528,0.038796,0.871184,0.470501,10215952,9563919,93.60%,1064879,11.10%,790530,434550,4153570,0.448777,0.936175
lib1490_D26PLACXX,13617150,13617150,11843549,49.670941,0.500391,6456979,274796347,305875119,59107163,30120378,0.009547,0.40629,0.45224,0.087391,0.044533,0.85853,0.536358,14807391,13617153,92.00%,1773602,13.00%,1093694,621502,7090994,0.677264,0.919618
lib1493_D26PLACXX,11104601,11104601,9516395,49.622723,0.499952,4789099,243556337,234874560,42320366,25485022,0.008691,0.442006,0.42625,0.076803,0.04625,0.868256,0.472264,11911388,11104604,93.20%,1588207,14.30%,738291,530595,6639996,0.461157,0.932268
lib1495_D26PLACXX,10344058,10344058,8999948,49.598357,0.500392,1041918,249347151,220526644,25319639,16800093,0.002031,0.486024,0.429847,0.049353,0.032746,0.915871,0.462807,11038105,10344061,93.70%,1344111,13.00%,439589,544865,5091849,0.41687,0.937123
lib1497_D26PLACXX,13413351,13413351,11740164,49.572147,0.499573,10031861,265151079,295745025,64026575,29951656,0.015088,0.39878,0.444793,0.096294,0.045046,0.843573,0.5067,14403915,13413354,93.10%,1673188,12.50%,1199690,597956,6682009,0.539315,0.93123
